index,date,open,high,low,volume,close,close_delta_1,close_delta_2,close_delta_3,returns,mfi,normal_open_,normal_high,normal_low,normal_volume,normal_close,normal_close_delta_1,normal_close_delta_2,normal_close_delta_3,normal_returns,normal_mfi
14,2019-01-22,264.059998,267.5,263.73999,4052700,262.27600099999995,0.0,0.0,0.0,0.0007155024422919855,68.4445968287755,0.7528241519287651,0.8221987893138554,0.8189835084441741,-0.8310846108826382,0.7964917418659709,0.0,0.0,0.0,-0.1807500283351468,0.5217568009332454
15,2019-01-23,267.75,269.47000099999997,263.670013,2971100,263.588867,1.3128660000000423,0.0,0.0,0.004993179075347777,74.57360866914338,0.8811050871637196,0.8923930307558035,0.8166970516839784,-0.9160529323733546,0.8462446751490624,0.049752933283091494,0.0,0.0,-0.11576648505626544,0.7288073840488356
16,2019-01-24,266.799988,268.160004,264.26001,2927300,262.710358,-0.8785090000000082,0.4343570000000341,0.0,-0.003338442369659752,76.20906505623523,0.8480784308517642,0.8457157723654642,0.8359748519490084,-0.9194937723153789,0.812952321119333,-0.03329235402972941,0.016460579253362084,0.0,-0.2423347905170119,0.7840564531364813
17,2019-01-25,268.799988,270.410004,265.700012,2809100,264.605652,1.8952940000000353,1.0167850000000271,2.3296510000000694,0.007188487076277457,75.31161399213954,0.9176073553536757,0.925886819610815,0.883026058882673,-0.9287793266794715,0.884777195808633,0.07182487468929999,0.03853252065957058,0.08828545394266207,-0.08241686452008691,0.7537387166108549
18,2019-01-28,266.899994,266.929993,264.609985,2837300,263.342102,-1.2635500000000093,0.6317440000000261,-0.24676499999998214,-0.004786657024195642,76.58446368440787,0.851555085663632,0.8018885412573304,0.8474100764463417,-0.9265639913743327,0.8368931628228982,-0.04788403298573485,0.02394084170356514,-0.009351512326164269,-0.26433507893360386,0.796738188282105
19,2019-01-29,266.0,268.450012,265.440002,2173000,263.904785,0.5626829999999927,-0.7008670000000166,1.1944270000000188,0.002134420240285761,76.07761677355961,0.820267278224545,0.8560492146185883,0.8745303871302559,-0.9787500638283664,0.858216839236583,0.021323676413684822,-0.026560356572050026,0.04526451811724996,-0.1591947977638179,0.7796158607071648
20,2019-01-30,269.690002,272.440002,267.190002,3659000,266.89587400000005,2.991089000000045,3.5537720000000377,2.2902220000000284,0.011270222104559269,76.33885580350348,0.9485482134594996,0.9982188487512431,0.9317105939174093,-0.862012891366084,0.9715684314484214,0.11335159221183844,0.13467526862552326,0.08679123563978841,-0.020409932342561138,0.788441050622148
21,2019-01-31,270.480011,271.73999,268.98999,4055100,266.72805800000003,-0.16781600000001617,2.823273000000029,3.3859560000000215,-0.0006289673137536379,82.60132213497361,0.9760124515179154,0.9732763175848831,0.9905241288056343,-0.8308960717077327,0.9652088043030496,-0.00635962714537186,0.10699196506646658,0.1283156414801514,-0.2011742950747123,1.0
22,2019-02-01,268.47000099999997,269.390015,266.02999900000003,3946800,265.26705899999996,-1.460999000000072,-1.6288150000000883,1.3622739999999567,-0.0054925416653830396,75.27646095482083,0.90613553474887,0.889543003473598,0.8938081873952859,-0.8394039019753405,0.9098421592885053,-0.05536664501454425,-0.06172627215991611,0.05162532005192233,-0.2750583965345723,0.7525511749541094
23,2019-02-04,268.309998,268.690002,264.269989,3398900,264.76361099999997,-0.5034479999999917,-1.9644470000000638,-2.13226300000008,-0.0018996944135523711,68.18929826845982,0.9005731164953303,0.8646004366756603,0.8363009098253107,-0.8824458244464607,0.8907632778523915,-0.019078881436113804,-0.07444552645065805,-0.08080515359602991,-0.22047831372056054,0.5131322922589794
