index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,49.709998999999996,50.110001000000004,49.32,1412800,49.318447,-0.029051027182532118,38.03115055377551,0.0,0.0,0.0,-0.7725310965398309,-0.7279334632099506,-0.269261971977623,0.04952035983333669,-0.03374324566907516,0.003762866636353168,-0.33697315975667486,-0.45639344935764314,2,1.0,1.0,1.0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
15,2018-11-21,50.540001000000004,50.919998,50.360001000000004,783100,50.304218,0.019790740888436895,34.59077010472993,0.9857709999999997,0.0,0.0,-0.8712451748968487,-0.8852090514011689,-0.17280462820999443,0.31123956148929377,-0.03374324566907516,0.003762866636353168,0.26863999269396177,-0.5653452320396841,3,0.019987875936158327,1.0,1.0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
16,2018-11-23,49.860001000000004,50.299999,49.66,362600,49.477764,-0.016565573921308904,37.624446224570164,-0.8264539999999982,0.15931700000000149,0.0,-0.8369095820518608,-0.9902342774364354,-0.2536728598643361,-0.16990066298572773,0.006622674282420332,0.003762866636353168,-0.18215987170540024,-0.46927317657028866,5,-0.016429119323552514,0.003230373413826301,1.0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
17,2018-11-26,50.540001000000004,51.130001,50.43,1280400,50.802082,0.026413981469131514,45.40828182609996,1.324317999999998,0.49786399999999986,1.4836349999999996,-0.811157672826033,-0.7610020480543485,-0.12408881186164766,0.40112276008513287,0.09239984245542604,0.3548442515388134,0.3507648167110845,-0.22277056517279803,1,0.026765922566751362,0.00989706270754472,0.03008275990523383,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1
18,2018-11-27,51.130001,51.619999,50.880001,957000,51.150585,0.006836591285807539,46.17930033786516,0.3485030000000009,1.672820999999999,0.8463670000000008,-0.7939915931402647,-0.8417753134522205,-0.08998791654716776,0.14204684614172502,0.3900970135573726,0.2040437298511876,0.10801510772325112,-0.198353544270073,2,0.0068600141230432425,0.0338095512966188,0.016824970820538365,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
19,2018-11-28,51.82,52.919998,51.450001,1042000,52.68401,0.029538064665349577,43.70875689484137,1.5334250000000011,1.881928000000002,3.206246,-0.4806875702252632,-0.8205454817922974,0.06005717746236883,0.4566400324543475,0.44307815444815896,0.762475950392111,0.38950186386774255,-0.27659201710686077,3,0.029978640517992143,0.03704430853837845,0.0648017561990069,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1
20,2018-11-29,52.110001000000004,52.25,51.610001000000004,1100000,51.658409000000006,-0.01965900427655017,43.800712909220735,-1.0256009999999947,0.5078240000000065,0.8563270000000074,-0.8369095820518638,-0.8060592437184675,-0.04029751772081536,-0.2227735856545605,0.09492339338041936,0.20640062396168704,-0.22051683918049245,-0.27367990554148247,4,-0.019467026143226276,0.00992801939606373,0.01685613987237782,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
21,2018-11-30,52.869999,53.290001000000004,52.580002,809500,52.594395,0.017956565459315992,50.154632049153335,0.9359859999999927,-0.089615000000002,1.4438099999999991,-0.8068666893848158,-0.8786153154503222,0.0512883814014824,0.2980217954417598,-0.05644886977983117,0.3454202246361448,0.24589714763226436,-0.07246064285637921,5,0.018118753908971386,-0.0017009904902835224,0.028226656645275888,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
22,2018-12-03,54.080002,54.34,53.869999,1082700,53.938625,0.02523727096956457,60.33803311741383,1.3442300000000031,2.280215999999996,1.2546150000000011,-0.9098700344463221,-0.8103801388680754,0.1828208115630101,0.40640933551023134,0.5439918141683447,0.3006498851546549,0.336174203321966,0.2500326733874607,1,0.02555842690081335,0.04414026765710101,0.02381396176942494,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1
23,2018-12-04,53.09,53.209998999999996,51.439999,1113200,51.289989,-0.05035123916566437,59.57210015810767,-2.6486360000000033,-1.3044060000000002,-0.3684200000000075,-0.35193102838538637,-0.8027623757430442,-0.07634728444236671,-0.6536844406702575,-0.3642387243703434,-0.0834185518565828,-0.601084985279203,0.22577670444237308,2,-0.04910462585948387,-0.024801235949191928,-0.007131849531022287,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
