Date,Open,High,Low,Close,Adj Close,Volume
2018-07-02,184.089996,185.460007,182.699997,185.289993,177.367401,2069800
2018-07-03,186.449997,187.399994,185.570007,185.710007,177.769455,1348000
2018-07-05,186.139999,188.169998,185.610001,187.360001,179.348907,1801000
2018-07-06,188.570007,191.490005,188.009995,191.009995,182.842834,2751600
2018-07-09,191.500000,194.389999,191.169998,194.169998,185.867737,3065500
2018-07-10,194.169998,196.149994,192.539993,195.690002,187.322739,2757000
2018-07-11,194.600006,195.190002,192.520004,193.149994,184.891327,2431400
2018-07-12,194.190002,194.259995,192.559998,194.080002,185.781586,2251900
2018-07-13,194.990005,196.750000,193.380005,195.910004,187.533325,2232000
2018-07-16,195.710007,196.570007,194.110001,194.880005,186.547379,1824800
2018-07-17,192.369995,194.899994,192.110001,193.919998,185.628418,2567300
2018-07-18,193.250000,194.000000,192.050003,192.800003,184.556335,2215800
2018-07-19,191.860001,192.850006,190.289993,191.759995,183.560760,2539200
2018-07-20,191.479996,191.479996,189.490005,190.490005,182.345093,2252200
2018-07-23,190.110001,190.970001,189.160004,189.970001,181.847305,1767000
2018-07-24,191.250000,193.199997,190.500000,191.399994,183.216156,2440400
2018-07-25,191.619995,193.460007,190.770004,193.039993,184.786041,2009300
2018-07-26,195.029999,195.589996,192.679993,194.050003,185.752869,2835800
2018-07-27,196.000000,196.220001,189.570007,192.440002,184.211700,4100200
2018-07-30,191.500000,192.210007,189.940002,190.630005,182.479095,2984700
2018-07-31,191.000000,197.490005,190.869995,196.550003,188.145950,4429300
2018-08-01,196.330002,196.979996,194.699997,195.839996,187.466324,2632800
2018-08-02,194.639999,197.419998,192.729996,196.380005,187.983231,2500400
2018-08-03,196.270004,198.410004,196.100006,197.990005,189.524399,2176200
2018-08-06,197.440002,199.830002,196.520004,197.610001,189.160645,1913800
2018-08-07,197.690002,200.899994,197.639999,200.399994,191.831345,2349800
2018-08-08,198.500000,198.500000,195.070007,196.199997,187.810928,3145900
2018-08-09,195.429993,196.320007,193.830002,193.970001,185.676285,2766500
2018-08-10,193.300003,195.179993,192.259995,194.419998,186.107040,1769100
2018-08-13,194.690002,196.320007,193.720001,195.610001,187.246155,1802900
2018-08-14,195.940002,196.960007,194.889999,195.759995,187.389740,1240200
2018-08-15,194.830002,195.479996,192.889999,195.259995,186.911133,1900200
2018-08-16,194.460007,197.130005,192.729996,196.440002,189.320526,2361700
2018-08-17,196.240005,198.509995,195.279999,197.419998,190.264999,2183800
2018-08-20,197.889999,198.500000,196.869995,197.559998,190.399933,1747900
2018-08-21,197.929993,198.399994,196.729996,197.309998,190.158981,1666900
2018-08-22,197.149994,198.750000,195.830002,197.839996,190.669769,1709300
2018-08-23,197.369995,197.750000,195.619995,196.600006,189.474731,1351200
2018-08-24,196.880005,197.500000,195.600006,196.639999,189.513275,1358500
2018-08-27,197.520004,198.660004,196.789993,198.600006,191.402252,2034400
2018-08-28,199.020004,199.830002,198.000000,198.619995,191.421509,1644200
2018-08-29,197.789993,200.000000,196.919998,199.750000,192.510559,1775100
2018-08-30,199.580002,200.690002,198.699997,200.350006,193.088821,1992500
2018-08-31,199.830002,200.470001,198.389999,199.809998,192.568390,2981400
2018-09-04,199.250000,199.750000,195.330002,196.729996,189.600021,2293500
2018-09-05,197.130005,198.669998,196.850006,197.750000,190.583038,1809000
2018-09-06,197.550003,198.589996,195.119995,196.149994,189.041016,1797300
2018-09-07,195.429993,197.550003,194.750000,196.300003,189.185593,2604100
2018-09-10,197.360001,203.690002,196.389999,202.500000,195.160889,4310800
2018-09-11,201.000000,203.000000,199.270004,199.470001,192.240707,3386000
2018-09-12,199.679993,201.500000,198.139999,199.500000,192.269608,2133500
2018-09-13,200.240005,203.089996,199.410004,202.929993,195.575302,2780200
2018-09-14,203.639999,204.419998,200.000000,200.580002,193.310471,2504200
2018-09-17,200.289993,201.449997,199.509995,200.809998,193.532135,1950100
2018-09-18,200.419998,203.869995,199.199997,202.339996,195.006699,1982300
2018-09-19,202.690002,204.399994,201.570007,203.199997,195.835541,2204600
2018-09-20,203.600006,205.250000,203.020004,205.100006,197.666687,2225000
2018-09-21,205.660004,206.619995,204.169998,205.100006,197.666687,7314000
2018-09-24,204.529999,207.669998,204.110001,207.210007,199.700195,2642000
2018-09-25,208.279999,208.899994,206.259995,206.460007,198.977356,2556200
2018-09-26,206.289993,208.880005,206.289993,206.830002,199.333969,2162600
2018-09-27,207.410004,210.190002,206.839996,208.889999,201.319305,2571200
2018-09-28,208.539993,208.800003,206.770004,207.289993,199.777298,3238200
2018-10-01,207.729996,209.339996,206.619995,206.910004,199.411072,2518100
2018-10-02,206.419998,208.100006,206.089996,207.669998,200.143524,2172100
2018-10-03,208.250000,208.250000,206.639999,206.899994,199.401398,2258800
2018-10-04,206.089996,207.149994,200.809998,203.470001,196.095749,3219800
2018-10-05,204.449997,206.089996,201.830002,204.020004,196.625824,2481000
2018-10-08,203.369995,206.130005,203.229996,205.570007,198.119644,2878100
2018-10-09,205.750000,208.080002,204.490005,206.000000,198.534042,2509100
2018-10-10,205.000000,206.350006,200.770004,201.199997,193.908020,4148000
2018-10-11,201.550003,202.960007,192.380005,193.850006,186.824387,4175000
2018-10-12,195.619995,198.089996,194.149994,197.389999,190.236099,3231400
2018-10-15,196.199997,198.410004,195.000000,195.589996,188.501328,2091100
2018-10-16,197.220001,202.679993,196.220001,202.339996,195.006699,2261500
2018-10-17,201.410004,203.309998,198.940002,202.770004,195.421112,2459700
2018-10-18,203.169998,204.509995,200.279999,202.720001,195.372910,2433600
2018-10-19,202.740005,205.119995,201.449997,201.800003,194.486252,2692500
2018-10-22,201.160004,201.800003,197.470001,198.020004,190.843262,2717500
2018-10-23,196.300003,199.089996,193.720001,197.639999,190.477036,2553500
2018-10-24,196.940002,197.960007,187.369995,187.880005,181.070755,4288300
2018-10-25,188.660004,190.500000,181.309998,188.100006,181.282791,4983700
2018-10-26,185.399994,187.330002,183.279999,185.979996,179.239609,4580400
2018-10-29,189.320007,190.910004,184.800003,188.190002,181.369522,3829500
2018-10-30,189.429993,191.000000,187.029999,189.080002,182.227264,4040600
2018-10-31,189.080002,195.330002,189.039993,192.789993,185.802795,4541000
2018-11-01,192.809998,194.380005,190.960007,192.899994,185.908813,2827300
2018-11-02,194.289993,195.350006,185.830002,187.059998,180.280472,3696300
2018-11-05,187.679993,190.720001,187.550003,189.919998,183.036819,2713500
2018-11-06,190.210007,192.699997,189.520004,190.750000,183.836746,2139000
2018-11-07,192.809998,197.729996,192.009995,197.619995,190.457764,3077800
2018-11-08,197.539993,198.279999,195.279999,196.020004,188.915756,2636600
2018-11-09,195.369995,196.910004,192.179993,193.160004,186.159409,2344900
2018-11-12,193.649994,194.720001,190.479996,191.559998,184.617371,2109100
2018-11-13,192.910004,194.820007,191.029999,191.550003,184.607758,2232200
2018-11-14,192.029999,193.399994,189.660004,190.360001,183.460876,2850300
2018-11-15,188.339996,192.630005,187.119995,192.449997,186.770233,2607100
2018-11-16,192.360001,195.240005,191.690002,194.179993,188.449173,3862300
2018-11-19,194.919998,196.770004,192.869995,194.910004,189.157639,2629900
2018-11-20,196.320007,198.679993,192.759995,196.440002,190.642471,3288800
2018-11-21,195.169998,197.550003,192.610001,192.770004,187.080811,2173600
2018-11-23,191.250000,194.479996,190.770004,192.570007,186.886719,1349200
2018-11-26,194.940002,196.309998,192.490005,194.300003,188.565643,2194600
2018-11-27,193.160004,197.229996,191.869995,197.100006,191.283020,2329200
2018-11-28,196.960007,202.020004,196.059998,201.419998,195.475510,2617800
2018-11-29,199.779999,204.000000,199.529999,202.369995,196.397461,1937800
2018-11-30,202.149994,208.990005,201.789993,208.250000,202.103928,4537200
2018-12-03,208.100006,208.300003,200.380005,202.929993,196.940948,4035300
2018-12-04,204.600006,205.740005,197.289993,197.759995,191.923523,3881100
2018-12-06,195.720001,199.009995,193.199997,199.009995,193.136627,3437300
2018-12-07,197.889999,198.399994,191.050003,191.440002,185.790054,3152400
2018-12-10,193.029999,194.789993,188.190002,194.089996,188.361832,2718300
2018-12-11,195.910004,198.410004,194.339996,196.179993,190.390152,3047500
2018-12-12,198.089996,199.440002,196.300003,196.410004,190.613358,2665600
2018-12-13,196.770004,197.660004,195.220001,197.529999,191.700317,2129800
2018-12-14,195.039993,196.149994,191.660004,192.070007,186.401443,2981300
2018-12-17,192.240005,194.449997,188.639999,190.080002,184.470184,2919400
2018-12-18,191.440002,191.940002,184.410004,187.100006,181.578125,3164300
2018-12-19,187.020004,191.759995,182.529999,185.490005,180.015656,3995400
2018-12-20,185.059998,186.539993,182.720001,184.960007,179.501297,3806200
2018-12-21,183.850006,187.610001,179.210007,180.210007,174.891495,7829800
2018-12-24,179.500000,182.929993,178.289993,178.399994,173.134903,2205100
2018-12-26,179.039993,188.029999,178.880005,187.860001,182.315704,2868200
2018-12-27,185.360001,190.410004,183.619995,190.330002,184.712799,3137900
2018-12-28,191.630005,194.589996,190.059998,190.729996,185.100998,2477500
