index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,147.179993,152.449997,147.179993,2091300,123.27937299999999,-0.03313756064289109,66.18209180256264,0.0,0.0,0.0,-0.38602316604886455,-0.4750510228678868,-0.9253201572274983,0.2825419867181542,0.25505793731067916,0.16273005872644797,-0.13686946896923102,0.21602899308076462,2,1.0,1.0,1.0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
15,2018-11-21,150.179993,151.369995,148.100006,630800,124.26793700000002,0.007986911714761933,66.05203273714048,0.9885640000000251,0.0,0.0,-0.7188042533097372,-0.9444614074276438,-0.9021770687958264,0.3686163370817305,0.25505793731067916,0.16273005872644797,0.3589811984804869,0.21270285315486537,3,0.008018892179148454,1.0,1.0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
16,2018-11-23,148.520004,154.0,148.520004,666800,127.09240700000001,0.022474419318401394,69.3852505101462,2.824469999999991,3.813034000000016,0.0,-0.35108274506397974,-0.9328908673084031,-0.8360539255470312,0.5284688264284849,0.47238677371180143,0.16273005872644797,0.5336616236169484,0.29794680505106874,5,0.022728871728191564,0.030930024279082084,1.0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1
17,2018-11-26,155.080002,155.630005,153.5,1231500,127.85666699999999,0.005995411375944333,73.14847794380127,0.7642599999999788,3.5887299999999698,4.577293999999995,-0.908485388191218,-0.7513940893824224,-0.8181619764523962,0.3490861689955418,0.4596022752467662,0.4003264313606645,0.33496905399286814,0.39418785504393883,1,0.006013419826095345,0.028878969802161994,0.03712943932639887,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
18,2018-11-27,153.83999599999999,154.96000700000002,151.91000400000001,1296900,126.436127,-0.011172591676021722,67.08280939319782,-1.4205399999999884,-0.6562800000000095,2.1681899999999814,-0.7554075689159512,-0.7303742748324682,-0.8514179748912691,0.15885544981667837,0.21765240440608666,0.2752756105703492,0.1279690541372594,0.2390640097514376,2,-0.01111041006567134,-0.005163801799740951,0.017447702539714498,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
19,2018-11-28,153.600006,160.0,152.770004,1777500,132.7164,0.048477264991460496,68.05103735740434,6.280272999999994,4.859733000000006,5.6239929999999845,-0.059901477570225126,-0.5759075642406029,-0.7043916686389302,0.829365883381288,0.5320447457446276,0.45465807045569734,0.8471860931942208,0.2638255415882709,3,0.049671507258364486,0.038009226378472746,0.044251211640046945,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
20,2018-11-29,158.58999599999999,162.220001,157.300003,1859900,134.14523300000002,0.010708520650860488,69.81891366105586,1.4288330000000258,7.70910600000002,6.288566000000031,-0.444260417883391,-0.5494238835232294,-0.6709415243153551,0.4069505958249383,0.6944484690166401,0.4891544637725021,0.39179649142248735,0.3090373377713369,4,0.010766062069194357,0.060972335857772834,0.0491844981380598,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
21,2018-11-30,165.399994,168.419998,160.149994,4234900,139.013275,0.035646390776429906,74.4957016170293,4.868041999999974,6.296875,12.577147999999994,0.1131447210832861,0.2139103604544652,-0.5569766960441562,0.7064028118064559,0.6139565248169303,0.8155796993402457,0.6924802166505591,0.4286418504966625,5,0.03628934022575348,0.04744609558426841,0.09947432192382795,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
22,2018-12-03,168.470001,168.889999,160.869995,2332800,135.931305,-0.02241978433687962,69.69809075422519,-3.081969999999984,1.7860719999999901,3.214905000000016,0.07154739715560687,-0.3974319829013129,-0.6291281240283411,0.014194600418407144,0.35685743594841,0.32960808018707743,-0.007641876972574568,0.3059474040318604,1,-0.022170328697025406,0.013314464927724937,0.024223871352749293,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
23,2018-12-04,162.470001,164.5,157.449997,2298000,131.68631000000002,-0.03172699285202857,61.710905700304515,-4.244994999999989,-7.326964999999973,-2.4589229999999986,-0.08985038607308349,-0.40861683834991236,-0.7285069145537921,-0.08707008384239556,-0.16255197065283133,0.03509325292222262,-0.1198618105000982,0.10168255700132067,2,-0.031228972604949157,-0.05270694471445244,-0.0183303047377017,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
